Treatment	Week	NND	Time in School	Bearing	Elevation	Speed
Gentamycin	4	0.012488889	100	139.2437	83.9836	0.275279579
Gentamycin	8	0.968285714	93	105.0924	33.8831	1.920403775
Gentamycin	8	0.723714286	100	66.5576	16.0283	1.904490447
Gentamycin	8	1.045257143	85	156.7378	-35.5775	3.693618257
Gentamycin	8	1.024685714	40	30.3857	-42.5311	1.885072827
Gentamycin	8	0.877333333	100	139.602	19.9416	5.266266479
Gentamycin	8	0.964628571	100	9.8133	-7.509	4.165790368
Gentamycin	8	0.87732381	89	61.8889	-2.0643	2.306929523
Gentamycin	8	0.793361905	76	149.1517	42.4296	4.480905595
Gentamycin	8	1.012009524	82	74.7766	12.7675	2.786113544
Gentamycin	8	1.090333333	63	71.6768	48.1227	2.690502874
Gentamycin	8	2.169514286	69	164.3221	9.1261	4.18924269
Gentamycin	8	0.899695238	65	162.598	35.4537	4.443841569
Gentamycin	8	0.803609524	92	39.9483	-16.3997	2.011630115
Gentamycin	8	0.956009524	100	28.8279	16.8641	2.782985044
Gentamycin	8	0.735571429	100	90.4899	5.5048	1.846407014
Gentamycin	8	1.17667619	100	7.4418	-20.5825	2.166891666
Gentamycin	8	0.586933333	100	1.7988	-17.9355	2.116277307
Gentamycin	8	0.862371429	98	46.3154	49.0302	3.629170057
Gentamycin	8	0.785209524	98	52.2737	-45.2287	2.476384526
Gentamycin	8	0.880095238	100	21.6061	9.9169	1.917838998
Gentamycin	8	0.9	76	105.1318	-0.3938	4.369409616
Gentamycin	8	0.973361905	100	76.8547	-8.8911	2.322562104
Gentamycin	8	0.920952381	91	37.6017	-45.6711	2.523564001
Gentamycin	8	0.136742857	100	50.5434	8.5466	0.571066024
Gentamycin	8	1.29112381	58	155.5988	23.13	1.736452952
Gentamycin	8	1.624752381	50	56.6101	-5.7393	1.63690989
Gentamycin	8	1.908657143	64	49.7078	9.9624	1.494464255
Gentamycin	8	1.227961905	34	144.0865	-12.399	6.696994812
Gentamycin	8	0.251704762	100	30.4717	8.7993	0.599707384
Gentamycin	8	0.746314286	82	40.3632	49.4587	8.57649271
Gentamycin	8	1.18347619	73	54.4987	38.9224	0.867634493
Gentamycin	8	0.938533333	100	164.573	-11.125	5.178795403
Gentamycin	8	1.057571429	69	77.9029	4.4422	5.569999503
Sham	-1	0.35173	100	154.046	-2.5879	1.148386852
Sham	-1	0.14447	100	22.8878	12.07	1.266884894
Sham	-1	0.60198	100	92.1911	41.4165	2.913596957
Sham	-1	0.64507	100	179.5001	71.4206	1.68156667
Sham	-1	0.22784	100	176.1827	-20.471	1.452001919
Sham	-1	0.34419	100	156.974	-23.163	0.596296064
Sham	-1	0.11276	100	176.1918	-48.1074	0.555059191
Sham	-1	0.2277	100	151.7906	-40.8046	0.878174055
Sham	-1	0.13658	100	15.8078	-10.5314	0.638100115
Sham	-1	0.26537	100	130.8587	-6.966	0.634605735
Sham	-1	0.17319	100	82.2875	-26.4906	0.647651145
Sham	-1	0.17662	100	136.1776	-40.9881	0.48711597
Sham	-1	0.17338	100	45.6323	-4.2293	1.254164534
Sham	-1	0.13715	100	104.5723	22.022	1.193724286
Sham	-1	0.96924	100	44.7218	55.5768	3.726464893
Sham	-1	0.296	100	17.064	10.7198	1.26255759
Sham	-1	0.15275	100	148.8515	-3.4571	1.605689854
Sham	-1	0.27902	100	70.8169	6.1327	0.707708415
Sham	-1	0.19523	100	171.27	49.7858	0.738399009
Sham	-1	0.66833	100	150.4321	27.4914	1.467296113
Sham	-1	0.11937	100	106.0023	-11.1462	0.757168247
Sham	-1	0.14743	100	21.6225	37.7817	0.759978704
Sham	-1	0.08746	100	147.5811	-14.6265	0.721326654
Sham	-1	0.1457	100	41.1842	19.6771	0.516184478
Sham	-1	1.16159	65	46.0636	-7.9114	0.753738455
Sham	0	0.49315	100	39.6836	43.4948	3.250911786
Sham	0	1.21158	42	114.3235	57.7528	3.199368237
Sham	0	0.32287	100	172.2412	-54.4753	0.955921672
Sham	0	0.52027	100	85.4631	9.4301	8.049392683
Sham	0	0.28743	100	108.7451	-5.135	1.420304198
Sham	0	0.51502	100	46.6373	4.5986	2.012280982
Sham	0	0.25097	100	76.2337	1.0722	1.93229141
Sham	0	0.93492	97	30.4587	7.7719	0.502094627
Sham	0	0.25985	100	87.9719	33.8622	0.879553063
Sham	0	0.25867	100	142.6139	-7.0369	0.679348938
Sham	0	0.31515	100	98.1575	-4.8979	0.68457425
Sham	0	0.46555	100	159.2666	-48.0899	0.650633903
Sham	0	0.39458	100	143.8543	-33.4755	0.533095573
Sham	0	0.154959	100	159.0095	-71.1791	1.17768476
Sham	0	0.71029	100	25.1094	40.6127	0.595671025
Sham	0	0.6878	100	83.5745	51.3969	2.103843125
Sham	0	0.25846	100	14.2333	4.3948	0.916872676
Sham	0	0.34478	100	119.2991	17.2548	1.525910633
Sham	0	0.47253	100	159.7454	-3.9161	2.543215992
Sham	0	0.70296	100	63.7844	-11.3071	0.710404633
Sham	0	0.95279	28	27.6227	-15.3731	1.232662311
Sham	0	0.68225	100	13.6876	1.0548	0.530314869
Sham	0	0.79234	31	104.7906	-58.0927	0.528852873
Sham	0	0.218799	40	73.3126	37.8007	0.66693118
Sham	0	0.560113	96	64.3344	2.9037	0.705365778
Sham	1	0.290213	30	134.6047	7.0266	1.846959325
Sham	1	0.306822	100	176.5695	46.386	1.932806668
Sham	1	0.523726	99	105.9471	37.142	3.37280566
Sham	1	0.203231	100	147.7773	53.5881	2.937492467
Sham	1	0.342163	30	87.3662	-1.5838	2.100614782
Sham	1	0.221944	90	158.8821	25.2368	0.962020472
Sham	1	0.508253	80	13.4688	0.5159	3.041853222
Sham	1	0.148998	65	131.6535	43.4175	1.516841491
Sham	1	0.179143	66	100.4921	0.2434	1.925130786
Sham	1	0.18363	10	72.3591	-35.1806	1.22336891
Sham	1	0.560569	100	15.3309	-7.4798	1.908616733
Sham	1	0.155768	100	35.4546	-21.2749	2.561872459
Sham	1	0.198513	100	65.8891	5.7476	1.58308096
Sham	1	0.279926	100	1.2962	22.2513	0.912855006
Sham	1	0.413956	100	102.4886	-29.0391	4.833120019
Sham	1	0.422687	27	84.8132	31.1719	1.617837534
Sham	1	0.409858	100	37.9656	-55.9719	0.920795264
Sham	1	0.265924	100	5.613	-64.1287	0.589732908
